R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Mackenzie Dern,Amanda Ribas,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,5,1,0,0,4.29,0.39,0.6,2.06,0.53,4,4,30,0,0,0,4,1,2,0,7,Orthodox,160.02,167.64,115,0,1,0,3.31,0.4,1.2,0.89,0.17,4,5,39,0,0,2,3,0,4,0,9,Orthodox,162.56,160.02,115,31,31,1,-1,0,-2,-1,-9,0,1,-2,-2.539999999999992,7.620000000000003,0,0.98,-0.6,1.17,1,1,8.0,6.0,,,6.0,,,,,,,,,,,10.0,,8.0,,,,,,,,,,,Red,,,,,,,,,,,
Santiago Ponzinibbio,Carlston Harris,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,3.79,0.43,0.6,1.46,0.22,2,2,10,0,0,0,1,1,2,0,4,Orthodox,182.88,193.04,170,2,0,0,4.8,0.41,0.0,0.56,0.32,7,7,44,0,0,0,5,6,0,0,11,Orthodox,182.88,185.42,170,38,37,-1,0,-5,-7,-5,-34,0,-5,2,0.0,7.619999999999976,-1,-1.0099999999999998,0.6,0.8999999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Cesar Almeida,Abdul Razak Alhassan,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.64,0.49,0.2,0.84,0.33,3,6,23,0,0,0,0,6,0,0,6,Orthodox,177.8,185.42,185,0,1,0,4.16,0.58,0.3,0.0,0.0,2,1,11,0,0,0,2,1,0,0,3,Orthodox,185.42,187.96,185,36,39,1,-1,1,3,5,12,0,5,0,-7.620000000000003,-2.539999999999992,3,-0.52,-0.0999999999999999,0.84,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Chris Curtis,Roman Kopylov,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,6.16,0.51,0.0,0.0,0.0,4,3,27,0,0,1,1,4,0,0,6,Orthodox,177.8,190.5,185,0,1,0,4.96,0.5,0.0,1.17,0.42,4,3,20,0,0,1,0,4,0,0,5,Southpaw,182.88,190.5,185,33,37,1,-1,0,1,0,7,0,0,0,-5.079999999999984,0.0,4,1.2000000000000002,0.0,-1.17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Christian Rodriguez,Austin Bashi,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,1.94,0.48,1.3,8.39,0.39,1,0,2,0,0,0,0,0,1,0,1,Orthodox,167.64,177.8,145,1,0,0,3.54,0.48,1.2,1.21,0.53,4,2,17,0,0,1,3,0,1,0,5,Orthodox,170.18,180.34,145,27,23,-1,1,-3,-4,-2,-15,0,0,0,-2.539999999999992,-2.539999999999992,-4,-1.6,0.1,7.180000000000001,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Punahele Soriano,Uros Medic,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,5.49,0.6,0.0,0.37,0.5,2,2,11,0,0,0,0,5,0,0,5,Southpaw,185.42,180.34,170,0,1,0,5.0,0.53,0.0,1.47,0.56,3,4,20,0,0,0,2,3,0,0,5,Southpaw,180.34,182.88,170,32,31,0,0,-1,0,-2,-9,0,2,0,5.0800000000000125,-2.539999999999992,-1,0.4900000000000002,0.0,-1.1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Jose Johnson,Felipe Bunes,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,1,0,0,2.27,0.57,0.7,0.69,0.6,1,3,13,0,0,0,1,0,1,0,2,Orthodox,182.88,180.34,125,1,0,0,4.49,0.53,2.6,2.59,0.25,0,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,125,35,29,0,0,1,2,2,11,0,0,1,12.699999999999989,5.0800000000000125,-6,-2.22,-1.9,-1.9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Marco Tulio,Ihor Potieria,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,2,0,0,4.44,0.5,0.0,0.73,0.18,1,5,14,0,0,0,1,2,0,0,3,Southpaw,190.5,190.5,185,0,2,0,5.02,0.51,0.6,1.17,0.2,2,0,5,0,0,0,1,1,0,0,2,Orthodox,182.88,187.96,185,30,28,2,-2,-1,1,5,9,0,1,0,7.620000000000003,2.539999999999992,-2,-0.5799999999999992,-0.6,-0.4399999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Thiago Moises,Trey Ogden,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2,0,3.2,0.5,0.7,1.89,0.32,2,2,18,0,0,0,3,0,0,0,3,Orthodox,180.34,182.88,155,1,0,0,2.5,0.41,1.2,1.34,0.35,3,6,34,0,0,0,3,2,3,0,8,Orthodox,175.26,177.8,155,29,35,-1,2,-1,-5,-4,-16,0,-2,-3,5.0800000000000125,5.079999999999984,6,0.7000000000000002,-0.5,0.5499999999999998,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Preston Parsons,Jacobe Smith,,,,,2025-01-11,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,3.54,0.51,2.3,3.46,0.36,1,3,13,0,0,0,2,0,0,0,2,Orthodox,180.34,180.34,170,0,1,0,7.34,0.7,0.0,11.5,0.87,1,0,2,0,0,0,0,1,0,0,1,Southpaw,177.8,182.88,170,28,29,1,-1,0,1,3,11,0,-1,0,2.539999999999992,-2.539999999999992,1,-3.8,2.3,-8.04,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
