RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,RedEloCurrent,BlueEloCurrent,WeightClass_Bantamweight,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_FEMALE,Gender_MALE,BlueStance_Open Stance,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_Switch ,RedStance_Open Stance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BetterRank_Blue,BetterRank_Red,BetterRank_neither
962,1796,0.05055055055055055,0.9374374374374375,1,True,5,1,0,0,4.67,0.52,0.0,1.74,0.34,6,4,46,8,0,0,5,9,0,0,14,0.9634634634634635,0.9764764764764764,0.9424424424424425,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,0,1,9,5,6,0,21,0.964964964964965,0.996996996996997,0.9554554554554555,37,42,1,-18,-12,-7,3,-28,-8,4,-6,0.0,-10.16,5,0.29,-0.5,-0.15,1.0,0.9937613359714185,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
962,375,0.4774774774774775,0.525025025025025,1,True,5,0,1,0,5.49,0.6,0.5,0.58,0.21,7,1,30,2,0,0,3,3,2,0,8,0.9634634634634635,0.9889889889889889,0.9504504504504505,0,17,0,4.29,0.57,0.5,1.93,0.45,17,1,73,15,0,1,9,5,5,0,20,0.964964964964965,0.996996996996997,0.9554554554554555,35,32,0,-16,-10,-12,0,-43,-13,-2,-3,0.0,-7.62,-3,1.2,0.0,-1.35,0.9996674296643503,0.8436651229151204,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
962,540,0.07607607607607608,0.9169169169169169,1,True,5,0,6,0,5.03,0.52,0.4,0.39,0.16,6,0,10,0,0,1,1,3,1,0,6,0.9634634634634635,0.8913913913913913,0.8898898898898899,0,16,0,4.31,0.57,0.5,1.9,0.46,16,1,68,14,0,1,8,5,5,0,19,0.964964964964965,0.996996996996997,0.8868868868868869,32,30,0,-10,-10,-13,1,-58,-14,-2,-4,0.0,-17.78,2,0.72,-0.1,-1.51,0.9994221910629786,0.9301565102303974,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
772,566,0.0985985985985986,0.3613613613613614,1,True,5,0,1,0,5.3,0.5,1.3,1.24,0.36,5,8,75,3,1,0,6,12,4,0,23,0.39139139139139134,0.514014014014014,0.482982982982983,0,13,0,2.65,0.59,1.1,3.19,0.53,13,1,34,3,0,0,5,3,6,0,14,0.49299299299299304,0.32932932932932935,0.476976976976977,32,35,0,-12,-8,9,7,41,0,9,-2,-2.54,5.08,3,2.65,0.2,-1.95,0.9991986959397365,0.9963868004129487,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
962,1847,0.031031031031031032,0.9660268228115299,1,True,5,0,4,0,4.44,0.47,0.1,0.83,0.4,4,5,32,0,0,0,2,11,0,0,13,0.8538538538538538,0.8408408408408409,0.8898898898898899,0,15,0,4.3,0.57,0.4,1.85,0.44,15,1,63,13,0,0,8,5,5,0,18,0.964964964964965,0.996996996996997,0.8868868868868869,31,35,0,-11,-11,-5,-4,-31,-13,6,-5,-5.08,-20.32,-4,0.14,-0.3,-1.02,0.9991411608106159,0.9739600018198532,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1881,545,0.3323323323323323,0.6606606606606606,1,False,3,0,3,0,46.7742,0.496,0.3548,0.6774,0.295,8,8,68,1,0,0,7,10,6,0,23,0.7832832832832832,0.6036036036036037,0.482982982982983,0,11,0,55.4667,0.43,1.0,0.4,0.277,11,1,33,2,0,1,3,3,6,1,14,0.5865865865865866,0.8328328328328328,0.476976976976977,35,36,0,-8,-3,9,-7,35,-1,6,0,5.08,-7.62,-1,-8.6925,-0.6452,0.2774,0.9990183515815739,0.9949347247590908,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1066,397,0.16716716716716717,0.8103103103103103,1,True,5,0,1,0,3.88,0.38,0.2,3.79,0.44,7,2,43,3,0,0,6,3,2,0,11,0.5915915915915916,0.514014014014014,0.6501501501501501,0,14,0,4.36,0.52,0.1,2.82,0.45,14,0,48,8,0,0,9,4,1,0,14,0.6821821821821821,0.8328328328328328,0.6441441441441442,34,33,0,-13,-7,-3,2,-5,-5,-1,1,-2.54,-10.16,-1,-0.48,0.1,0.97,0.9989890930483319,0.9783900732668882,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
69,1325,0.39789789789789787,0.597097097097097,1,True,5,0,2,0,7.17,0.48,0.3,0.25,0.53,13,6,80,8,0,1,7,9,2,0,19,0.5915915915915916,0.25075075075075076,0.33983983983983984,0,11,0,6.16,0.56,0.2,1.78,0.37,11,0,37,8,0,1,6,4,0,0,11,0.14414414414414414,0.42342342342342343,0.33583583583583587,33,30,0,-9,2,8,6,43,0,5,2,12.7,-5.08,-3,1.01,0.1,-1.53,0.9982538734533619,0.994903353532262,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1157,397,0.31231231231231227,0.16478978978978978,1,True,5,0,1,0,3.88,0.38,0.2,3.79,0.44,7,3,53,3,0,0,7,3,2,0,12,0.5915915915915916,0.514014014014014,0.6501501501501501,0,11,0,2.68,0.53,0.4,1.25,0.36,11,2,55,3,1,1,7,3,1,0,13,0.8543543543543544,0.6796796796796797,0.6441441441441442,32,35,0,-10,-4,-1,1,-2,0,0,1,-7.62,-5.08,3,1.2,-0.2,2.54,0.9982018327115455,0.9796383064641496,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
507,1583,0.00950950950950951,0.9874874874874875,1,True,5,0,2,0,19.4286,0.523,1.5714,2.7143,0.581,3,2,19,0,0,0,3,0,2,0,5,0.04704704704704705,0.02302302302302302,0.2097097097097097,0,12,0,64.25,0.534,0.625,4.0625,0.44,12,2,59,12,0,1,7,2,4,0,14,0.024024024024024024,0.1011011011011011,0.09109109109109109,31,24,0,-10,-9,-9,0,-40,-12,-2,-2,2.54,-7.62,7,-44.8214,0.9464,-1.3482,0.9981872602553821,0.7999822033356613,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
