RedFighter,BlueFighter,Winner,TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,RedEloCurrent,BlueEloCurrent,EloDiff,WeightClass_Bantamweight,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_FEMALE,Gender_MALE,BlueStance_Open Stance,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,RedStance_Open Stance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BetterRank_Blue,BetterRank_Red,BetterRank_neither
735,1497,1,True,5,0,4,0,4.36,0.48,0.6,1.82,0.44,4,5,37,0,0,2,2,2,6,0,12,0.5980980980980981,0.5255255255255256,0.5035035035035035,0,14,0,2.63,0.58,1.1,3.2,0.53,14,1,39,4,0,0,5,3,7,0,15,0.503003003003003,0.3458458458458459,0.4984984984984985,33,35,0,-10,-10,-3,4,-2,-4,-1,-1,2.539999999999992,5.079999999999984,2,1.7300000000000004,-0.5000000000000001,-1.38,1.0,0.9702088522542359,0.9978228847793835,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
735,541,1,True,5,0,1,0,5.3,0.5,1.3,1.24,0.36,5,8,75,3,1,0,6,12,4,0,23,0.40240240240240244,0.5255255255255256,0.5035035035035035,0,13,0,2.63,0.58,1.1,3.2,0.53,13,1,34,4,0,0,5,3,6,0,14,0.503003003003003,0.3458458458458459,0.4984984984984985,32,35,0,-12,-8,9,7,41,-1,9,-2,-2.5400000000000205,5.079999999999984,3,2.67,0.1999999999999999,-1.96,0.9998365463057914,0.9883447196853298,0.9831577123456828,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
735,69,1,True,5,0,1,0,6.16,0.56,0.2,1.78,0.37,12,1,50,8,0,1,7,5,0,0,13,0.15415415415415415,0.43743743743743746,0.36936936936936937,0,12,0,2.63,0.58,1.1,3.2,0.53,12,1,33,4,0,0,5,2,6,0,13,0.503003003003003,0.3458458458458459,0.4984984984984985,31,35,0,-11,0,0,0,17,4,3,-6,-10.159999999999997,2.539999999999992,4,3.53,-0.9000000000000001,-1.4200000000000002,0.9995482174317059,0.9985835462678117,0.62862789006388,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1005,381,1,True,5,0,1,0,3.81,0.38,0.2,3.64,0.42,7,2,43,3,0,0,6,3,2,0,11,0.5980980980980981,0.5255255255255256,0.6551551551551551,0,14,0,4.36,0.52,0.1,2.82,0.45,14,0,48,8,0,0,9,4,1,0,14,0.6891891891891893,0.8358358358358358,0.6541541541541542,34,33,0,-13,-7,-3,2,-5,-5,-1,1,-2.539999999999992,-10.159999999999997,-1,-0.5500000000000003,0.1,0.8200000000000003,0.9994515096122507,0.990284838178528,0.958765582531869,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
1090,381,1,True,5,0,1,0,3.81,0.38,0.2,3.64,0.42,7,3,53,3,0,0,7,3,2,0,12,0.5980980980980981,0.5255255255255256,0.6551551551551551,0,11,0,2.68,0.53,0.4,1.25,0.36,11,2,55,3,1,1,7,3,1,0,13,0.8508508508508508,0.6881881881881882,0.6541541541541542,32,35,0,-10,-4,-1,1,-2,0,0,1,-7.620000000000003,-5.0800000000000125,3,1.13,-0.2,2.39,0.9993522182582093,0.9913611239957291,0.9393763424122686,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
1005,927,1,True,5,1,0,0,4.05,0.47,0.3,1.38,0.59,4,8,70,2,0,1,8,7,1,0,17,0.5980980980980981,0.6891891891891893,0.6551551551551551,0,13,0,4.36,0.52,0.1,2.82,0.45,13,0,46,8,0,0,9,3,1,0,13,0.6891891891891893,0.8358358358358358,0.6541541541541542,33,36,1,-13,-9,4,8,24,-6,4,0,-2.539999999999992,-5.079999999999984,3,-0.3100000000000005,0.1999999999999999,-1.44,0.9990609947490487,0.9529907523221058,0.9962733873306343,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
1090,1005,1,True,5,1,0,0,4.36,0.52,0.1,2.82,0.45,15,1,58,8,0,0,10,4,1,0,15,0.6956956956956957,0.8333333333333334,0.6551551551551551,0,10,0,2.68,0.53,0.4,1.25,0.36,10,2,50,3,0,1,7,3,1,0,12,0.8508508508508508,0.6881881881881882,0.6541541541541542,31,35,1,-10,5,3,-1,8,5,1,0,-5.0800000000000125,5.079999999999984,4,1.6800000000000002,-0.3,1.5699999999999998,0.9987994920442703,0.9978850087542739,0.41140583866736613,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
81,698,1,True,5,0,6,0,3.82,0.47,0.1,1.84,0.31,6,2,32,5,0,2,4,4,0,0,10,0.05655655655655655,0.047547547547547545,0.23823823823823823,0,8,0,4.41,0.52,0.7,2.51,0.29,8,3,47,4,0,1,6,2,4,0,14,0.23923923923923923,0.43743743743743746,0.36536536536536535,33,36,0,-2,-2,-4,-1,-15,1,2,-4,-7.620000000000003,-17.78,3,-0.5900000000000003,-0.6,-0.6699999999999997,0.998741371037146,0.9961065563125385,0.6517977914602533,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
1005,659,1,True,5,0,6,0,3.17,0.48,0.5,2.1,0.37,6,3,36,0,0,0,5,3,4,0,12,0.49649649649649646,0.43743743743743746,0.6551551551551551,0,12,0,4.36,0.52,0.1,2.82,0.45,12,0,43,8,0,0,9,2,1,0,12,0.6891891891891893,0.8358358358358358,0.6541541541541542,33,34,0,-6,-6,0,3,-7,-8,1,3,-5.079999999999984,-12.699999999999989,1,-1.1900000000000004,0.4,-0.7199999999999998,0.9986723056676797,0.9869153119653626,0.9249781960060148,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
735,69,1,True,5,0,12,0,6.16,0.56,0.2,1.78,0.37,12,0,42,8,0,1,7,4,0,0,12,0.15415415415415415,0.43743743743743746,0.36936936936936937,0,11,0,2.63,0.58,1.1,3.2,0.53,11,1,28,4,0,0,4,2,6,0,12,0.503003003003003,0.3458458458458459,0.4984984984984985,31,34,0,1,1,0,-1,14,4,2,-6,-10.159999999999997,2.539999999999992,3,3.53,-0.9000000000000001,-1.4200000000000002,0.9985156467708416,0.9990355633967931,0.1406023507166339,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
