RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Diego Sanchez,Martin Kampmann,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Red,False,Welterweight,MALE,5,1,0,0,3.22,0.42,2.0,1.86,0.41,5,3,21,0,0,1,2,2,4,0,9,Orthodox,182.88,182.88,170,0,1,0,2.69,0.37,0.8,1.51,0.24,9,4,45,2,0,1,6,5,2,0,14,Southpaw,177.8,182.88,170,29,28,1,-1,-4,-5,-1,-24,-2,-3,2,5.079999999999984,0.0,-1,0.5300000000000002,1.2,0.3500000000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
CB Dollaway,Mark Munoz,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Blue,False,Middleweight,MALE,3,0,1,0,3.12,0.51,0.6,3.17,0.29,3,2,15,0,0,1,1,4,0,0,6,Orthodox,182.88,180.34,185,0,3,0,2.65,0.47,1.2,3.55,0.54,3,2,11,1,0,0,2,1,2,0,5,Orthodox,187.96,193.04,185,27,33,0,-2,0,1,0,4,-1,3,-2,-5.0800000000000125,-12.699999999999989,6,0.4700000000000002,-0.6,-0.3799999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Alessio Sakara,Chris Weidman,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Blue,False,Middleweight,MALE,3,0,0,0,3.11,0.45,0.8,3.27,0.42,0,0,0,5,0,0,0,0,0,0,0,Orthodox,187.96,198.12,185,0,3,0,3.96,0.47,0.0,2.18,0.78,3,4,16,0,0,1,1,4,0,0,6,Orthodox,182.88,182.88,185,29,26,0,-3,-3,-6,-4,-16,5,-4,0,5.0800000000000125,15.240000000000007,-3,-0.8500000000000001,0.8,1.09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Brian Bowles,Damacio Page,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,2.05,0.38,0.9,2.63,0.64,2,2,9,0,0,0,1,1,1,0,3,Orthodox,167.64,167.64,135,1,0,0,2.36,0.26,1.4,1.39,0.7,5,1,11,2,0,0,0,2,3,0,5,Orthodox,170.18,177.8,135,30,28,0,0,-3,-2,1,-2,-2,-1,-2,-2.539999999999992,-10.159999999999997,-2,-0.31,-0.4999999999999999,1.24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Steve Cantwell,Cyrille Diabate,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Blue,False,Light Heavyweight,MALE,3,1,0,0,4.06,0.71,0.2,1.17,0.83,1,2,4,0,0,0,0,1,0,0,1,Southpaw,198.12,205.74,205,2,0,0,3.63,0.34,0.7,0.65,0.3,4,3,12,1,0,0,0,2,2,0,4,Orthodox,187.96,190.5,185,24,37,-1,0,-3,-3,-1,-8,-1,-1,-2,10.159999999999997,15.240000000000007,13,0.4299999999999997,-0.4999999999999999,0.5199999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Joe Stevenson,Danny Castillo,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,2.57,0.42,0.2,2.95,0.38,3,3,16,0,0,1,1,3,0,0,5,Orthodox,175.26,180.34,155,2,0,0,2.05,0.44,2.2,2.75,0.44,4,9,39,2,0,0,3,3,5,0,11,Orthodox,170.18,177.8,145,28,31,-2,2,-1,-6,-6,-23,-2,0,-5,5.079999999999984,2.539999999999992,3,0.52,-2.0,0.2000000000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Thiago Tavares,Shane Roller,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,2.04,0.34,1.9,2.46,0.33,3,2,14,0,0,0,1,0,5,0,6,Orthodox,177.8,182.88,155,0,2,1,2.0,0.4,1.5,3.83,0.42,2,3,23,0,0,0,3,0,2,0,5,Orthodox,170.18,177.8,145,26,31,0,-1,1,1,-1,-9,0,0,3,7.620000000000003,5.079999999999984,5,0.04,0.3999999999999999,-1.37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Takeya Mizugaki,Reuben Duran,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Red,False,Bantamweight,MALE,3,0,0,0,3.19,0.49,0.7,0.98,0.23,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,135,1,0,0,3.37,0.37,0.1,1.46,0.57,1,3,15,0,0,1,1,0,0,0,2,Orthodox,170.18,175.26,135,27,27,-1,0,-1,-2,-3,-15,0,0,0,0.0,5.0800000000000125,0,-0.1800000000000001,0.6,-0.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Rob Kimmons,Dongi Yang,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,3.55,0.51,0.5,1.7,0.41,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,185,1,0,0,1.86,0.48,2.4,2.08,0.46,1,3,11,0,0,0,1,0,2,0,3,Orthodox,177.8,185.42,185,30,26,0,0,-1,-3,-2,-8,0,0,-2,0.0,0.0,-4,1.6899999999999995,-1.9,-0.3800000000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
David Branch,Rousimar Palhares,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,1.75,0.51,4.1,3.93,0.45,6,2,16,0,0,0,1,0,8,0,9,Orthodox,172.72,180.34,170,0,2,0,1.66,0.39,0.0,2.55,0.32,2,1,9,0,0,0,2,0,0,0,2,Orthodox,185.42,198.12,185,29,31,1,-2,4,7,1,7,0,0,8,-12.700000000000015,-17.78,2,0.09,4.1,1.3800000000000003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
