RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Marvin Vettori,Roman Dolidze,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,5,0,2,0,3.16,0.42,1.1,1.33,0.42,4,3,26,0,0,1,2,5,0,0,8,Orthodox,187.96,193.04,185,1,0,1,4.56,0.45,0.5,1.66,0.45,5,5,51,1,0,0,7,0,2,0,9,Southpaw,182.88,187.96,185,31,36,-1,2,-1,-1,-2,-25,-1,5,-2,5.0800000000000125,5.079999999999984,5,-1.3999999999999997,0.6000000000000001,-0.3299999999999998,1,12.0,8.0,,,,,,,8.0,,,,,,,,,,,,,12.0,,,,,,,Red,,,,,,,,,,,
Chidi Njokuani,Elizeu Zaleski dos Santos,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Welterweight,MALE,3,0,1,1,4.33,0.41,0.5,0.7,0.2,7,4,41,0,0,2,4,4,1,0,11,Orthodox,180.34,185.42,170,0,2,0,4.59,0.63,0.2,0.0,0.0,3,3,17,0,0,1,1,3,0,0,5,Orthodox,190.5,203.2,170,36,38,0,-1,4,6,1,24,0,1,1,-10.159999999999997,-17.779999999999973,2,-0.2599999999999998,0.3,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Alexander Hernandez,Kurt Holobaugh,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,0,1,0,4.63,0.45,0.8,0.76,0.33,1,6,22,0,0,0,1,0,1,0,2,Orthodox,180.34,177.8,155,0,1,0,4.43,0.41,0.1,0.95,0.29,2,7,32,0,0,1,3,3,0,0,7,Orthodox,175.26,182.88,155,32,38,0,0,-1,-5,-1,-10,0,-3,1,5.0800000000000125,-5.079999999999984,6,0.2000000000000001,0.7000000000000001,-0.1899999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Da'Mon Blackshear,Cody Gibson,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,2,0,3.47,0.44,0.7,2.18,0.4,2,5,19,0,0,0,1,1,1,0,3,Orthodox,177.8,180.34,135,0,1,1,4.3,0.47,1.4,2.17,0.37,2,3,14,0,0,0,0,1,2,0,3,Switch,177.8,182.88,135,30,37,0,1,0,0,2,5,0,0,-1,0.0,-2.539999999999992,7,-0.8299999999999996,-0.7,0.0100000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Diyar Nurgozhay,Brendson Ribeiro,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,0,1,0,3.16,0.42,0.4,1.27,0.5,1,2,8,0,0,1,0,1,0,0,2,Orthodox,190.5,205.74,205,0,1,0,3.52,0.52,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Southpaw,187.96,187.96,205,27,28,0,0,0,1,2,6,0,0,0,2.539999999999992,17.78,1,-0.3599999999999999,0.4,1.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
SeungWoo Choi,Kevin Vallejos,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Featherweight,MALE,3,0,1,0,6.85,0.51,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Switch,170.18,172.72,145,1,0,0,3.51,0.39,0.0,0.86,0.54,3,6,23,0,0,0,3,1,0,0,4,Orthodox,182.88,187.96,145,32,23,-1,1,-2,-3,-5,-19,0,0,0,-12.699999999999989,-15.240000000000007,-9,3.34,0.0,-0.86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Waldo Cortes-Acosta,Ryan Spann,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Heavyweight,MALE,3,0,1,0,3.3,0.4,1.7,1.32,0.35,5,6,23,0,0,1,1,3,4,0,9,Orthodox,195.58,200.66,205,0,3,0,5.64,0.48,0.2,0.55,0.6,3,1,17,0,0,0,4,2,0,0,6,Orthodox,193.04,198.12,260,33,33,0,-2,2,3,5,6,0,1,4,2.5400000000000205,2.539999999999992,0,-2.34,1.5,0.77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
SuYoung You,AJ Cunningham,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,2,0,0,7.66,0.29,0.0,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,135,0,3,0,2.11,0.42,0.3,4.67,0.58,3,0,9,0,0,1,2,0,0,0,3,Orthodox,167.64,165.1,135,29,30,2,-3,-3,-3,2,-6,0,0,0,10.159999999999997,15.240000000000007,1,5.550000000000001,-0.3,-4.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Carlos Vera,Josias Musasa,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,1,0,3.33,0.44,1.0,1.0,1.0,1,0,3,0,0,1,0,0,0,0,1,Southpaw,172.72,187.96,135,1,0,0,0.8,0.48,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,37,26,-1,1,1,1,-1,0,0,0,0,5.079999999999984,12.700000000000015,-11,2.53,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Stephanie Luciano,Sam Hughes,,,,,2025-03-15,"Las Vegas, Nevada, USA",USA,,False,Women's Strawweight,FEMALE,3,0,1,0,4.33,0.46,0.0,0.85,0.3,2,5,25,0,1,1,1,1,0,0,4,Orthodox,165.1,162.56,115,0,1,1,5.3,0.48,0.0,0.5,1.0,1,0,6,0,0,0,1,0,0,0,1,Orthodox,167.64,165.1,115,25,32,0,0,1,3,5,19,0,1,0,-2.5400000000000205,-2.539999999999992,7,-0.9699999999999998,0.0,0.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
